name,Prec,Rec,F1,Actual,GHAC
Avg,0.8131078656797713,0.6424437156439458,0.6997719493355251,0,0.0
Kai Zhang,0.9133858267716536,0.7631578947368421,0.8315412186379928,24,24
Barry Wilkinson,1.0,1.0,1.0,1,1
Michael Siegel,0.9233449477351916,0.8217054263565892,0.8695652173913044,6,6
Xiaoming Wang,0.8527131782945736,0.9821428571428571,0.9128630705394191,14,14
David Jensen,0.9566755083996463,0.91928632115548,0.9376083188908145,4,4
Jeffrey Parsons,0.9880597014925373,0.7609195402298851,0.8597402597402598,2,2
Ping Zhou,0.8809523809523809,0.74,0.8043478260869565,18,18
Richard Taylor,0.7450980392156863,0.4367816091954023,0.5507246376811594,16,16
Lei Fang,0.6538461538461539,0.7727272727272727,0.7083333333333333,7,7
Young Park,0.782608695652174,0.4864864864864865,0.6000000000000001,9,9
Bin Zhu,0.8738738738738738,0.5672514619883041,0.6879432624113474,15,15
Wei Xu,0.8542056074766355,0.5123318385650224,0.6405045550105115,48,48
John Hale,0.7919799498746867,0.5917602996254682,0.677384780278671,4,4
Jie Tang,0.9967948717948718,0.7257876312718786,0.8399729912221471,6,6
Xiaoyan Li,0.8130841121495327,0.8365384615384616,0.8246445497630331,6,6
Li Shen,0.7676470588235295,0.7446504992867332,0.7559739319333817,9,9
Jianping Wang,0.9283489096573209,0.5995975855130785,0.7286063569682151,5,5
John Collins,0.9947643979057592,0.9047619047619048,0.9476309226932668,7,7
J. Yin,0.8260869565217391,0.475,0.6031746031746033,7,7
Paul Wang,0.76,0.9047619047619048,0.8260869565217391,7,7
Kuo Zhang,1.0,1.0,1.0,4,4
Shu lin,0.9726339794754846,0.9221621621621622,0.9467258601553828,2,2
William H. Hsu,0.9660056657223796,0.6861167002012073,0.8023529411764706,2,2
Gang Luo,0.7834394904458599,0.2847222222222222,0.4176570458404074,9,9
Thomas Zimmermann,0.9995194617972128,0.9696969696969697,0.9843823946994795,2,2
Jie Yu,0.9570552147239264,0.8715083798882681,0.9122807017543859,9,9
John F. McDonald,0.9957264957264957,0.8825757575757576,0.9357429718875502,2,2
Steve King,0.9086538461538461,0.8362831858407079,0.8709677419354838,4,4
Bin Yu,0.7105751391465677,0.4118279569892473,0.5214431586113002,17,17
Manuel Silva,0.9989258861439313,0.9384460141271443,0.967741935483871,4,4
David Cooper,0.75,0.7,0.7241379310344827,7,7
Ji Zhang,0.865979381443299,0.46408839779005523,0.60431654676259,16,16
Qiang shen,0.8754863813229572,0.7785467128027682,0.8241758241758241,3,3
Yue Zhao,0.842443729903537,0.8343949044585988,0.8384,9,9
David Brown,0.9543147208121827,0.8506787330316742,0.8995215311004785,25,25
Hiroshi Tanaka,0.83125,0.2835820895522388,0.42289348171701113,7,7
Yang Wang,0.6383838383838384,0.26756985605419137,0.37708830548926014,55,55
Robert Allen,0.9230769230769231,0.4528301886792453,0.6075949367088607,9,9
R. Balasubramanian,0.775,0.38271604938271603,0.512396694214876,6,6
Hong Xie,0.5,0.5,0.5,7,7
Yoshio Tanaka,0.8641114982578397,0.9501915708812261,0.9051094890510949,2,2
F. Wang,0.5,0.5,0.5,17,17
Feng Pan,0.8724637681159421,0.40620782726045884,0.5543278084714549,15,15
Charles Smith,1.0,1.0,1.0,4,4
Feng Liu,0.49411764705882355,0.3554301833568406,0.41345365053322397,32,32
Wen Gao,0.9617498192335503,0.36980436132452293,0.5342017363598026,10,10
David E. Goldberg,0.9912663755458515,0.9912663755458515,0.9912663755458515,3,3
Michael Wagner,0.7368421052631579,0.302158273381295,0.4285714285714286,14,14
Jim Gray,0.944233206590621,0.8659769847727536,0.9034135693930758,6,6
Ke Chen,0.5553822152886115,0.39687848383500557,0.46293888166449937,16,16
Hui Fang,0.8838709677419355,0.524904214559387,0.6586538461538463,8,8
Ajay Gupta,0.49079754601226994,0.6722689075630253,0.5673758865248227,9,9
Frank Mueller,0.9739308728763914,0.699411022297013,0.8141527913809989,3,3
Lei Chen,0.7515923566878981,0.10096976611523104,0.17802363590646217,40,40
Thomas Wolf,0.9090909090909091,0.5084745762711864,0.6521739130434782,8,8
Yi Deng,0.8998855835240275,0.5931372549019608,0.7150000000000001,9,9
Hao Wang,0.5267605633802817,0.2652482269503546,0.3528301886792452,48,48
