Label	Name	Author List	Title	Abstract	Keywords	Venue	Download links	Publish Year
Ajay Gupta
10	Ajay Gupta	manish bhide;mukul joshi;mukesh k. mohania	Optimal Deployment of Triggers for Detecting Events			Database and Expert Systems Applications	http://www.informatik.uni-trier.de/~ley/db/conf/dexa/dexa2004.html#BhideGJM04,http://springerlink.metapress.com/openurl.asp?genre=article&issn=0302-9743&volume=3180&spage=66	2004
10	Ajay Gupta	manish bhide;mukesh k. mohania	Web Page Ranking Based on Events		Web Pages;	Electronic Commerce and Web Technologies	http://www.informatik.uni-trier.de/~ley/db/conf/ecweb/ecweb2004.html#GuptaBM04,http://springerlink.metapress.com/openurl.asp?genre=article&issn=0302-9743&volume=3182&spage=287	2004
10	Ajay Gupta	rema ananthanarayanan;mukesh k. mohania	Management of Conflicting Obligations in Self-Protecting Policy-Based Systems			International Conference on Autonomic Computing	http://www.informatik.uni-trier.de/~ley/db/conf/icac/icac2005.html#AnanthanarayananMG05,http://doi.ieeecomputersociety.org/10.1109/ICAC.2005.38	2005
10	Ajay Gupta	manish bhide;mukul joshi;mukesh k. mohania;shree raman	Policy Framework for Autonomic Data Managemen	Abstract The popularity ,of  e-Business ,has ,lead ,to  an  exponential,and ,unstructured ,growth ,in  the  applications space  coupled ,with  an  increase ,in  the  database,size.   This  has  led  to  an ,increase  in  the  complexity,of  the ,database ,management ,task.  Moreover, organizations  are  increasingly  concerned  about the privacy of data. Thus, managing such large ever,growing ,and ,privacy-preserving  database ,is  complex,and  time-consuming ,task.  In  this	Database Management;Privacy Preservation;	International Conference on Autonomic Computing	http://www.informatik.uni-trier.de/~ley/db/conf/icac/icac2004.html#BhideGJMR04,http://csdl.computer.org/comp/proceedings/icac/2004/2114/00/21140336abs.htm	2004
10	Ajay Gupta	manish bhide;v. chakravarthy;himanshu gupta;mukesh k. mohania;kriti puniyani;prasan roy;sourashis roy;vibhuti s. sengar	Enhanced Business Intelligence using EROCS		Business Intelligence;	International Conference on Data Engineering	http://www.informatik.uni-trier.de/~ley/db/conf/icde/icde2008.html#BhideCGGMPRRS08,http://dx.doi.org/10.1109/ICDE.2008.4497635	2008
10	Ajay Gupta	manish bhide;sandeep pandey;mukesh k. mohania	Dynamic Access Control Framework Based On Events		Access Control;	International Conference on Data Engineering	http://csdl.computer.org/comp/proceedings/icde/2003/2071/00/20710765abs.htm,http://www.informatik.uni-trier.de/~ley/db/conf/icde/icde2003.html#BhidePGM03	2003
10	Ajay Gupta	manish bhide;mukesh k. mohania	Towards Bringing Database Management Task in the Realm of IT non-Experts		Database Management;	International Conference on Data Engineering	http://www.informatik.uni-trier.de/~ley/db/conf/icde/icde2003.html#GuptaBM03,http://csdl.computer.org/comp/proceedings/icde/2003/2071/00/20710832abs.htm	2003
10	Ajay Gupta	vishal s. batra;jaijit bhattacharya;harish chauhan;mukesh k. mohania;upendra sharma	Policy Driven Data Administration			Policies for Distributed Systems and Networks		2002
10	Ajay Gupta	manish bhide;rahul gupta;prasan roy;mukesh k. mohania;zenita ichhaporia	LIPTUS: associating structured and unstructured information in a banking environment	Growing competition has made today's banks understand the value of knowing their customers better. In this paper, we describe a tool, LIPTUS, that associates the customer interactions (emails and transcribed phone calls) with customer and account profiles stored in an existing data warehouse. The associations discovered by LIPTUS enable analytics spanning the customer and account profiles on one hand and	Data Association;Data Warehouse;Information Integration;Text Mining;	International Conference on Management of Data	http://doi.acm.org/10.1145/1247480.1247587,http://dblp.uni-trier.de/db/conf/sigmod/sigmod2007.html#BhideGGRMI07,http://www.informatik.uni-trier.de/~ley/db/conf/sigmod/sigmod2007.html#BhideGGRMI07,http://portal.acm.org/citation.cfm?id=1247587,http://portal.acm.org/ft_gateway.cfm?id=1247587&type=pdf&CFID=29576336&CFTOKEN=51534192	2007
10	Ajay Gupta	mukesh k. mohania;rema ananthanarayanan	Some issues in privacy data management		Data Management;	Data & Knowledge Engineering	http://linkinghub.elsevier.com/retrieve/pii/S0169023X07000444,http://www.informatik.uni-trier.de/~ley/db/journals/dke/dke63.html#MohaniaAG07,http://dx.doi.org/10.1016/j.datak.2007.03.003	2007
11	Ajay Gupta		Explanation-based Failure Recovery		Failure Recovery;	National Conference on Artificial Intelligence	http://www.informatik.uni-trier.de/~ley/db/conf/aaai/aaai87.html#Gupta87	1987
11	Ajay Gupta	yossi lichtenstein;bob welham	Time Representation in Prolog Circuit Modelling			UK Conference on Logic Programming	http://www.informatik.uni-trier.de/~ley/db/conf/alpuk/alpuk91.html#LichtensteinWG91	1991
