run,pP_avg,pR_avg,pF1_avg,ACP_avg,AAP_avg,K_avg
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run1,0.7495418707136416,0.6288975782755077,0.6682690192169317,0.8873354400863875,0.9054229953798562,0.8958833316151716
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run10,0.7496093433723395,0.6316189444007358,0.671926803924991,0.8882462712248171,0.9074421488419658,0.897326758801005
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run11,0.7439020161121954,0.638507145707265,0.6730941280279392,0.8927161910396736,0.9078450223366948,0.8999306728858292
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run12,0.74417865959625,0.6345155565725942,0.6695284550067211,0.895132148509825,0.9077326857690623,0.9010290556080238
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run13,0.7521084742624984,0.6358679135525308,0.6742024007631026,0.8939751029120377,0.9062173665394961,0.8996760634885818
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run14,0.7523489486918442,0.6354547281773206,0.6733203366485053,0.8955754569817141,0.9084042604706628,0.9016461637591913
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run16,0.7553829260718952,0.6299119299367161,0.6710310405382393,0.8902344514460812,0.9082675874909627,0.8988196375475844
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run17,0.7560997102184067,0.6449974564886395,0.6811546611974436,0.8942374526250355,0.9107184305478411,0.9019949854170721
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run18,0.747169069819712,0.6293807274621463,0.6689621982282599,0.8852587721992202,0.9052307168809336,0.8947561987117285
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run19,0.7474682693303649,0.6282878399594614,0.667541256958899,0.8911936185042739,0.9053856573483919,0.8979371205670773
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run2,0.7570686683643936,0.6329642398136351,0.6745680169728424,0.8819441876105316,0.9062721124671855,0.893554341982485
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run20,0.7518623011272069,0.6339966283352252,0.6724531842229329,0.8905651950274645,0.9044351490163643,0.8970583924465874
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run3,0.7392322692914004,0.6349115649369027,0.6680547591284532,0.8948060209423238,0.905650690726647,0.8998224132359183
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run4,0.75732118909617,0.6338350716870451,0.6741542887005504,0.8931122076640428,0.9067777151014896,0.8995353827083378
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run5,0.7559381025860475,0.6298101080837657,0.6738316631610887,0.8893151759061267,0.9047309307949176,0.8965610601303343
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run6,0.750485362691207,0.629364574720082,0.6701647545290841,0.8870865225568171,0.904094152106033,0.8951323138219299
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run7,0.7522479835772607,0.629856266027748,0.6700029439972118,0.8908303267314384,0.9048552880278662,0.8974074730256123
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run8,0.7445764932638212,0.6258125473219968,0.6644751850757592,0.889788911572601,0.9064233336097016,0.8976597812464164
sentence-transformers_all-MiniLM-L6-v2_emb_gcn_run9,0.7432458532610409,0.6397683951909454,0.6742520878956774,0.8892247556489916,0.9060836005436007,0.8972570694846878
